gene_id,Old-1,Old-2,Old-3,Young-1,Young-2,Young-3
LOC100421130,0,0,0,1,2,0
LOC107985279,0,0,0,0,0,0
LOC107987462,0,0,0,0,0,0
LOC124905654,0,0,0,0,0,0
RPS9,2,0,3,2,1,0
TSEN34,0,0,0,0,0,0
MBOAT7,28,0,15,4,1,0
TMC4,0,0,0,0,0,0
LENG1,2,0,0,0,0,0
LOC102724273,0,0,0,0,0,0
CNOT3,74,0,95,55,7,31
PRPF31-AS1,0,0,0,0,0,0
PRPF31,0,0,0,0,0,0
LOC124905653,0,0,0,0,0,0
TFPT,0,0,0,0,0,0
NDUFA3,0,3,1,0,0,0
OSCAR,0,0,0,0,0,0
TARM1,0,0,0,0,0,0
VSTM1,0,0,0,0,0,0
LOC107987461,0,0,0,0,0,0
LOC124905651,0,0,0,0,0,0
LOC124905652,0,0,0,0,0,0
HCG23,0,0,0,0,0,0
BTNL2,0,0,0,0,0,0
TSBP1-AS1,0,0,0,0,0,0
HLA-DRA,0,0,0,0,0,0
LOC102724290,0,0,0,0,0,0
LOC102725035,0,0,0,0,0,0
LOC124905402,0,0,0,0,0,0
ZBTB9,0,0,0,52,0,0
MIR5004,0,0,0,0,0,0
SYNGAP1-AS1,0,0,0,0,0,0
SYNGAP1,0,0,0,0,0,0
CUTA,1,0,0,2,0,0
PHF1,1,0,39,11,75,0
RPL12P1,0,0,0,0,0,0
KIFC1,0,0,12,0,0,0
RPL35AP4,0,0,0,0,0,0
SMIM40,0,0,0,0,0,0
RPS18,0,0,2,1,1,0
VPS52,0,0,0,0,0,0
HCG25,0,0,0,0,0,0
ZNF70P1,0,0,0,0,0,0
COL11A2,0,0,0,0,0,0
HLA-DPA3,0,0,0,0,0,0
HLA-DPB2,0,0,0,0,0,0
COL11A2P1,0,0,0,0,0,0
HLA-DPA2,0,0,0,0,0,0
RPL32P1,0,0,0,0,0,0
HLA-DPB1,0,0,0,0,0,0
HLA-DPA1,0,0,0,0,0,0
HLA-DOA,0,0,0,0,0,0
BRD2,108,30,124,21,5,2
HLA-DMA,0,0,0,0,0,0
HLA-DMB,0,0,0,0,0,0
HLA-Z,0,0,0,0,0,0
LOC100294145,2,1,0,0,0,1
PPP1R2P1,0,0,0,0,0,0
PSMB9,0,0,0,0,0,0
TAP1,0,0,0,0,0,0
PSMB8-AS1,0,0,0,0,0,0
PSMB8,0,0,0,0,0,0
TAP2,0,0,0,0,0,0
HLA-DOB,0,0,0,0,0,0
HLA-DQB2,0,0,0,0,0,0
MIR3135B,0,0,0,0,0,0
HLA-DQA2,0,0,0,0,0,0
LOC102725019,0,0,0,0,0,0
HLA-DQB1,0,0,0,0,0,0
HLA-DQA1,0,0,0,0,0,0
HLA-DRB1,0,0,0,0,0,0
FAM8A5P,0,0,0,0,0,0
HLA-DRB7,0,1,1,0,0,3
LOC100294316,0,0,0,0,0,0
PRKRAP1,2,0,5,15,4,1
HLA-DRB8,0,0,0,0,0,0
HLA-DRB4,0,0,0,0,0,0
HLA-DRB9,0,0,0,0,0,0
RNU6-603P,0,0,0,0,0,0
HNRNPA1P2,0,0,0,0,0,0
TSBP1,0,0,0,0,0,0
NOTCH4,0,0,0,0,0,0
GPSM3,0,0,0,0,0,0
PBX2,0,0,2,1,0,0
AGER,0,0,0,0,0,0
MIR6833,0,0,0,0,0,0
RNF5,0,0,0,0,0,0
MIR6721,0,0,0,0,0,0
AGPAT1,47,0,33,0,0,0
EGFL8,0,0,0,0,0,0
PPT2-EGFL8,0,0,0,0,0,0
PPT2,1,0,18,0,2,0
LOC100507547,0,0,0,0,0,0
PRRT1,0,0,0,0,0,0
TNXB,0,0,0,0,0,0
CYP21A2,0,0,0,0,0,0
C4B,0,0,0,0,0,0
STK19B,0,0,0,0,0,0
TNXA,0,0,0,0,0,0
CYP21A1P,0,0,0,0,0,0
C4B_2,0,0,0,0,0,0
STK19,0,0,0,0,2,0
DXO,0,0,0,0,0,0
SKIV2L,0,0,0,0,0,0
MIR1236,0,0,0,0,0,0
NELFE,3,0,0,0,0,0
CFB,0,0,0,0,0,0
C2-AS1,0,0,0,0,0,0
C2,0,0,0,0,0,0
EHMT2,0,0,0,0,0,0
EHMT2-AS1,0,0,0,0,0,0
SLC44A4,0,0,0,0,0,0
NEU1,1,0,0,0,0,0
VARS1,0,0,0,0,0,0
VWA7,0,0,0,0,0,0
SAPCD1-AS1,0,0,0,0,0,0
SAPCD1,0,0,0,0,0,0
RNU6-850P,0,0,0,0,0,0
MSH5,0,0,0,0,0,0
MSH5-SAPCD1,0,0,0,0,0,0
CLIC1,0,0,0,0,0,0
DDAH2,0,0,0,0,0,0
MPIG6B,0,0,0,0,0,0
LY6G6C,0,0,0,0,0,0
LY6G6D,0,0,0,0,0,0
LY6G6E,0,0,0,0,0,0
LY6G6F,0,0,0,0,0,0
LY6G6F-LY6G6D,0,0,0,0,0,0
MIR4646,0,0,0,0,0,0
LOC105375018,0,0,0,0,0,0
ABHD16A,0,0,0,0,0,0
LOC105375019,0,0,0,0,0,0
LY6G5C,0,0,0,0,0,0
LY6G5B,0,0,0,0,0,0
CSNK2B,24,1,10,0,34,0
GPANK1,62,52,18,22,1,13
C6orf47,0,0,0,0,0,0
APOM,0,0,0,0,0,0
BAG6,0,0,0,3,0,1
MIR6832,0,0,0,0,0,0
SNORA38,0,0,0,0,0,0
PRRC2A,21,7,0,5,5,0
AIF1,0,0,0,0,0,0
UQCRHP1,0,0,0,0,0,0
NCR3,0,0,0,0,0,0
LST1,0,0,0,0,0,0
LTB,0,0,0,0,0,0
TNF,0,0,0,0,0,0
LTA,0,0,0,0,0,0
LOC100287329,0,0,0,0,0,0
NFKBIL1,0,0,0,0,0,0
ATP6V1G2,0,0,0,0,0,0
DDX39B-AS1,0,0,0,0,0,0
SNORD84,0,0,0,0,0,0
SNORD117,0,0,0,0,0,0
DDX39B,0,0,0,0,0,0
ATP6V1G2-DDX39B,0,0,0,0,0,0
MCCD1,0,0,0,0,0,0
RPL15P4,0,0,0,0,0,0
PPIAP9,0,0,0,0,0,0
MICB,0,0,0,0,0,0
MICB-DT,0,0,0,0,0,0
HCG26,0,0,0,0,0,0
HCP5,0,0,0,0,0,0
HLA-X,0,0,0,0,0,0
LINC01149,0,0,0,0,0,0
MICA,0,0,0,0,0,0
MICA-AS1,0,0,0,0,0,0
LOC124901300,0,0,0,0,0,0
LOC105379664,0,0,0,0,0,0
RNU6-283P,0,0,0,0,0,0
DHFRP2,5,0,1,0,3,1
MIR6891,0,0,0,0,0,0
HLA-B,0,0,0,0,0,0
LINC02571,0,0,0,0,0,0
WASF5P,0,0,0,0,0,0
RPL3P2,1,2,0,1,5,0
USP8P1,2,0,0,0,0,0
HLA-C,0,0,0,0,0,0
HCG27,0,0,0,0,0,0
PSORS1C3,0,0,0,0,0,0
POU5F1,12,39,93,1,1,0
TCF19,0,0,0,0,0,0
RNU6-1133P,0,0,0,0,0,0
HCG22,0,0,0,0,0,0
MUC22,0,0,0,0,0,0
LINC00243,0,0,0,0,0,0
HCG20,0,0,0,0,0,0
RN7SL353P,0,0,0,0,0,0
IER3,0,0,0,0,0,0
IER3-AS1,0,0,0,0,0,0
FLOT1,25,2,32,2,0,64
TUBB,0,0,0,0,0,0
MDC1-AS1,0,0,0,0,0,0
MDC1,0,0,39,0,0,0
LOC107987457,0,0,0,0,0,0
DHX16,0,0,1,0,0,0
C6orf136,2,2,0,0,0,17
PTMAP1,0,0,0,0,0,0
ATAT1,0,0,0,0,0,0
MRPS18B,0,0,0,0,0,0
PPP1R10,0,0,0,0,0,0
MIR877,0,0,0,0,0,0
ABCF1,2,1,0,4,1,0
PRR3,0,0,0,0,0,0
GNL1,0,0,1,0,0,0
LINC02569,0,0,0,0,0,0
HLA-E,0,0,0,0,0,0
RANP1,2,1,0,0,0,1
SUCLA2P1,0,0,0,0,0,0
LOC105375012,0,0,0,0,0,0
MICC,0,0,0,0,0,0
UBQLN1P1,0,0,0,0,0,0
HLA-N,0,0,0,0,0,0
RPP21,0,0,0,0,0,0
TRIM39-RPP21,0,0,0,0,0,0
TRIM39,0,0,0,0,0,0
HCG18,6,12,9,0,0,1
HLA-L,0,0,0,0,0,0
HCG17,0,0,0,1,0,0
PAIP1P1,0,1,0,1,0,0
TRIM26,0,0,7,0,0,0
TRIM15,0,0,0,0,0,0
TRIM10,0,0,0,0,0,0
TRIM40,0,0,0,0,0,0
LOC124900227,0,0,0,0,0,0
TRIM31-AS1,0,0,0,0,0,0
TRIM31,0,0,0,0,0,0
RNF39,0,0,0,0,0,0
PPP1R11,0,1,12,2,0,0
POLR1H,18,40,359,37,111,278
ETF1P1,0,0,0,0,1,0
HLA-J,0,0,0,0,0,0
HCG4P3,0,0,0,0,0,0
ZNRD1ASP,0,0,0,0,0,1
LOC353007,0,0,0,0,0,0
MCCD1P2,0,0,0,0,0,0
DDX39BP2,0,0,0,0,0,0
HCG9,0,0,0,0,0,0
MICD,0,0,0,0,0,0
HLA-A,0,0,0,0,0,0
HLA-K,0,0,0,0,0,0
HCG4B,0,0,0,0,0,0
LOC353008,0,0,0,0,0,0
MCCD1P1,0,0,0,0,0,0
DDX39BP1,0,0,0,0,0,0
HLA-H,0,0,0,0,0,0
HCP5B,0,0,0,0,0,0
MICF,0,0,0,0,0,0
LOC105375010,0,0,0,0,0,0
HCGVIII-2,15,0,1,0,5,0
HLA-G,0,0,0,0,0,0
MICG,0,0,0,0,0,0
RPL7AP7,0,0,0,0,0,0
HLA-P,0,0,0,0,0,0
HCG4P9,0,0,0,0,0,0
HLA-V,0,0,0,0,0,0
HCG4,0,0,0,0,0,0
LOC353010,0,0,0,0,0,0
LOC105379663,0,0,0,0,0,0
IFITM4P,0,0,0,0,0,0
HCG9P5,0,0,0,0,0,0
MICE,0,0,0,0,0,0
HLA-F-AS1,0,0,0,0,0,0
RPL23AP1,0,0,0,0,0,0
HLA-F,0,0,0,0,0,0
ZDHHC20P1,0,0,0,0,0,0
ZFP57,0,0,0,0,0,0
MOG,0,0,0,0,0,0
SUMO2P1,3,0,8,2,0,2
GABBR1,0,0,0,0,0,0
OR2I1P,0,0,0,0,0,0
GPR53P,0,0,0,0,0,0
LINC01015,0,0,0,0,0,0
LINC02829,0,0,0,0,0,0
RPS17P1,1,1,0,0,1,0
MAS1L,0,0,0,0,0,0
LOC124905400,0,0,0,0,0,0
LOC105375008,0,0,0,0,0,0
MAS1LP1,0,0,0,0,0,0
UBDP1,0,0,0,0,0,0
OR2H1,0,0,0,0,0,0
OR10C1,0,0,0,0,0,0
OR11A1,0,0,0,0,0,0
OR12D1,0,0,0,0,0,0
OR12D2,0,0,0,0,0,0
OR12D3,0,0,0,0,0,0
OR5V1,0,0,0,0,0,0
DDX6P1,0,0,0,0,0,0
OR14J1,0,0,0,0,0,0
OR2B4P,0,0,0,0,0,0
LOC105375005,0,0,0,0,0,0
OR2U2P,0,0,0,0,0,0
OR2U1P,0,0,0,0,0,0
OR2G1P,0,0,0,0,0,0
LINC03003,0,0,0,0,0,0
OR2H4P,0,0,0,0,0,0
OR2J4P,0,0,0,0,0,0
OR2J2,0,0,0,0,0,0
OR2N1P,0,0,0,0,0,0
OR2J3,0,0,0,0,0,0
OR2J1,0,0,0,0,0,0
OR2B3,0,0,0,0,0,1
SAR1AP1,0,0,0,1,0,0
OR2P1P,0,0,0,0,0,0
OR2W1,0,0,0,0,0,0
OR2W1-AS1,0,0,0,0,0,0
OR2AD1P,0,0,0,0,0,0
LOC105375002,0,0,0,0,0,0
ZNF311,0,0,0,0,0,0
TRL-AAG3-1,0,0,0,0,0,0
HCG15,0,0,0,0,0,0
TRE-CTC1-6,0,0,0,0,0,0
TRF-GAA1-2,0,0,0,0,0,0
RN7SL471P,0,0,0,0,0,0
KRT18P1,0,0,0,0,0,0
TRM-CAT3-2,0,0,0,0,0,0
TRK-TTT3-3,0,0,0,0,0,0
TRM-CAT3-1,0,0,0,0,0,0
LINC01556,0,0,0,0,0,0
TRL-AAG2-2,0,0,0,0,0,0
TRQ-CTG1-3,0,0,0,0,0,0
TRL-CAA1-2,0,0,0,0,0,0
RNU6-930P,0,0,0,0,0,0
TRIM27,0,0,0,0,0,0
HCG14,0,0,0,0,0,0
TRL-CAA1-1,0,0,0,0,0,0
ZNF90P2,0,0,0,0,0,0
TRR-CCG1-2,0,0,0,0,0,0
TRA-AGC2-2,0,0,0,0,0,0
RPL13P,0,0,0,0,0,0
LINC01623,0,0,0,0,0,0
TRA-AGC2-1,0,0,0,0,0,0
TRF-GAA4-1,0,0,0,0,0,0
TRA-TGC5-1,0,0,0,0,0,0
TRA-AGC6-1,0,0,0,0,0,0
TRF-GAA3-1,0,0,0,0,0,0
TRA-TGC7-1,0,0,0,0,0,0
LOC124901504,0,0,0,0,0,0
TRA-AGC1-1,0,0,0,0,0,0
TRF-GAA1-1,0,0,0,0,0,0
TRA-TGC1-1,0,0,0,0,0,0
NOP56P1,0,0,0,0,0,0
TRA-AGC23-1,0,0,0,0,0,0
TRF-GAA5-1,0,0,0,0,0,0
TRF-GAA6-1,0,0,0,0,0,0
TRA-TGC6-1,0,0,0,0,0,0
TRK-TTT7-1,0,0,0,0,0,0
TRR-CCG1-1,0,0,0,0,0,0
TRV-AAC6-1,0,0,0,0,0,1
RPSAP2,0,0,0,0,0,0
TRA-CGC4-1,0,0,0,0,0,0
TRF-GAA11-1,0,0,0,0,0,0
TRT-AGT3-1,0,0,0,0,0,0
TRA-AGC7-1,0,0,0,0,0,0
TRA-AGC5-1,0,2,0,0,0,0
TRK-TTT13-1,0,0,0,0,0,0
LOC100288016,0,0,0,0,0,0
LOC105374297,0,0,0,0,0,0
SDHAP2,0,0,0,0,0,0
MIR570,0,0,0,0,0,0
SMBD1P,7,0,0,0,0,0
MIR570HG,0,0,0,0,0,0
LOC124905401,0,2,0,0,0,0
MUC20,1,14,0,3,0,2
MUC4,0,0,0,0,0,0
LOC112268340,0,0,0,0,0,0
LOC124905399,0,0,0,0,0,0
LYPLA2P1,0,0,0,0,0,0
MYL12BP3,0,0,0,0,0,0
DAXX,0,0,0,0,0,0
ZBTB22,0,0,2,0,0,0
TAPBP,0,0,0,0,0,0
RGL2,0,0,0,0,0,0
MIR6834,0,0,0,0,0,0
PFDN6,4,0,3,0,1,0
MIR6873,0,0,0,0,0,0
WDR46,0,0,0,0,0,0
B3GALT4,0,0,0,0,0,0
LOC105375022,0,0,0,0,0,0
RING1,0,0,0,0,0,0
MIR219A1,0,0,0,0,0,0
HSD17B8,0,0,0,0,0,0
SLC39A7,0,0,0,0,0,0
RNY4P10,0,0,0,0,0,0
RXRB,0,0,0,0,0,0
HCG24,0,0,0,0,0,0
LOC105375021,0,1,0,13,12,0
LOC124905396,0,0,0,0,0,0
MTCO3P1,0,0,0,0,0,0
RNU1-116P,0,0,0,0,0,0
HLA-DRB2,0,0,0,0,0,0
HLA-DRB3,0,0,0,0,0,0
LOC124905397,0,0,0,0,0,0
RNA5SP206,0,0,0,0,0,0
C4A,0,0,0,0,0,0
ZBTB12,0,0,0,0,0,0
SNORD52,0,0,0,0,0,0
SNORD48,0,0,0,0,0,0
SNHG32,29,5,2,2,8,0
HSPA1B,18,0,5,11,0,23
HSPA1A,0,0,0,2,0,0
HSPA1L,0,0,0,0,0,0
LSM2,0,0,0,0,0,0
LOC105375020,0,0,0,0,0,0
LOC105379656,0,0,0,0,0,0
CCHCR1,0,0,0,0,0,0
POLR2LP1,0,0,0,0,0,0
PSORS1C2,0,0,0,0,0,0
CDSN,0,0,0,0,0,0
PSORS1C1,0,0,0,1,0,1
C6orf15,0,0,0,0,0,0
MUC21,0,0,0,0,0,0
NAPGP2,0,0,0,0,0,0
HCG21,0,0,0,0,0,0
MUCL3,0,0,0,0,0,0
LOC124901299,0,0,0,0,0,0
SFTA2,0,0,0,0,0,0
VARS2,0,0,0,0,0,0
GTF2H4,1,0,0,3,0,0
MIR4640,0,0,0,0,0,0
DDR1,1,1,12,34,0,94
RN7SKP186,0,0,0,0,0,0
LINC02570,0,0,0,0,0,0
LOC124905395,0,0,0,2,0,0
RPL7P4,0,0,0,0,0,0
NRM,0,0,0,0,0,0
PPP1R18,0,0,0,0,0,0
TMPOP1,0,0,0,0,0,0
TRIM26BP,0,0,0,0,0,0
HLA-W,0,0,0,0,0,0
LOC124905394,0,0,0,0,0,0
LOC353009,0,0,0,0,0,0
LOC107987452,0,0,0,0,0,0
HCG4P11,0,0,0,0,0,0
OR2H2,0,0,0,0,0,0
RPL13AP,0,0,0,0,0,0
SNORD32B,0,0,0,0,0,0
TMEM183AP1,0,0,0,0,0,0
OR2H5P,0,0,0,0,0,0
UBD,0,0,0,0,0,0
LOC124905393,0,0,0,0,0,0
LOC105379641,0,0,0,0,0,0
LOC112268339,0,0,0,0,0,0
LOC124905398,0,0,0,0,0,0
LOC112268337,0,0,0,0,0,0
HLA-DQB1-AS1,0,0,0,0,0,0
FKBPL,0,0,0,2,0,0
ATF6B,0,0,0,0,0,0
LOC110384692,0,0,0,0,0,0
LOC112267902,0,0,0,0,0,0
HCG4P8,0,0,0,0,0,0
LOC107987447,0,0,0,0,0,0
LOC124901486,0,0,0,0,0,0
LOC124905392,0,0,0,0,0,0
LOC124905352,0,0,0,0,0,0
LOC112268336,0,0,0,0,0,0
LOC124901302,0,0,0,0,0,0
LOC124905389,0,0,0,0,0,0
LOC100294188,0,0,0,0,0,0
LOC112268335,0,0,0,0,0,0
LOC124905388,0,0,0,0,0,0
HLA-S,0,0,0,0,0,0
ZDHHC20P2,0,0,0,0,0,0
LOC124905390,0,0,0,0,0,0
LOC107987443,0,0,0,0,0,0
LOC124905387,0,0,0,0,0,0
LOC105374298,2,0,0,0,0,0
LOC124905391,0,0,0,0,0,0
TCF20,2,7,3,9,6,41
CYP2D8P,1,0,0,0,0,0
LOC105377203,0,0,0,0,0,0
CYP2D7,0,0,0,0,0,0
LOC102723722,0,119,5,0,0,1
CYP2D6,0,0,0,0,0,0
OLA1P1,0,0,0,0,0,0
NDUFA6-DT,0,0,0,0,0,0
NDUFA6,0,0,0,5,1,0
SMDT1,0,0,0,0,1,0
PHETA2,0,0,0,0,0,0
LOC107987441,0,0,0,0,0,0
LOC124905386,0,0,0,0,0,0
MUC2,0,0,0,0,0,0
LOC107987157,0,0,0,0,0,0
LINC02688,0,0,0,0,0,0
LOC124905385,0,0,0,0,0,0
MUC6,0,0,0,0,0,0
AP2A2,168,74,239,192,36,31
RNU6-1025P,0,0,0,0,0,0
LOC105377779,0,0,0,0,0,0
MIR3674,0,0,0,0,0,0
CLN8,33,2,0,0,0,0
CLN8-AS1,0,0,0,0,0,0
LOC124905384,0,0,0,0,0,0
LOC105377778,0,0,0,0,0,0
LOC100130321,0,0,0,0,0,0
LOC124901870,0,0,0,0,0,0
DLGAP2,34,45,203,0,163,65
DLGAP2-AS1,0,0,0,0,0,0
LOC124905383,0,0,0,0,0,0
LOC124905382,0,0,0,0,0,0
LOC112267927,0,0,0,0,0,0
LOC100294160,0,0,0,0,0,0
LOC124905381,0,0,0,0,0,0
LOC124905380,0,0,0,0,0,0
LOC107987440,0,0,0,0,0,0
LOC124905379,0,0,0,0,0,0
LINC01596,0,0,0,0,0,0
LOC105377619,0,0,0,0,0,0
FRG1-DT,0,0,0,0,0,0
RNU1-51P,0,0,0,0,0,0
LOC105377616,0,0,0,0,0,0
LOC107987311,0,0,0,0,0,0
LINC01262,0,0,0,0,0,0
LOC105377615,0,0,0,0,0,0
HSP90AA4P,0,0,0,0,0,0
LOC105377614,0,0,0,0,0,0
KRT18P53,0,0,0,0,0,0
FABP5P13,0,0,0,0,0,0
LOC102723840,0,0,0,0,0,0
LOC124900588,32,0,0,100,0,0
LOC101929829,0,0,0,0,0,0
LOC107987438,0,0,0,0,0,0
LOC124905377,0,0,0,0,0,0
LOC124905378,0,0,0,0,0,0
LOC105372225,0,0,0,0,0,0
SALL3,0,0,13,46,2,0
LINC01896,0,0,0,0,1,1
LOC105372221,0,0,0,0,0,0
LOC105372220,0,0,0,0,0,0
LOC105372219,0,0,0,0,0,0
WNT9B,0,0,0,0,0,0
LOC101929777,0,0,0,0,0,0
WNT3,0,0,0,0,1,0
RPS7P11,1,2,5,0,0,0
LOC107985026,0,0,0,0,0,0
NSF,7,8,0,0,0,0
LOC124905375,0,0,0,0,0,0
RN7SL199P,3,1,0,0,10,4
LRRC37A2,2,7,0,1,5,0
ARL17A,0,0,0,0,0,0
RDM1P2,0,0,0,0,0,0
LOC124905376,0,0,0,0,0,0
LOC124904014,0,0,0,0,0,0
LOC100132570,0,0,0,0,0,0
DND1P2,0,0,0,1,0,0
MAPK8IP1P1,0,0,0,0,0,0
KANSL1-AS1,0,0,0,0,0,0
LOC107985027,0,0,0,0,0,0
KANSL1,14,17,25,8,2,0
STH,0,0,0,0,0,0
LOC105371800,0,0,0,0,0,0
MAPT-IT1,0,0,0,0,0,0
MAPT,1,8,8,14,0,17
SPPL2C,0,0,0,0,0,0
MAPT-AS1,0,0,0,0,0,0
CRHR1,0,0,0,0,0,0
LOC107985028,0,0,0,0,0,0
LOC105371802,0,0,0,0,0,0
ARF2P,0,0,0,0,0,0
LINC02210-CRHR1,127,103,99,133,87,52
LINC02210,0,0,0,0,0,0
RPS26P8,4,1,0,2,0,11
MAPK8IP1P2,11,1,3,4,0,1
DND1P1,7,0,0,0,0,0
RDM1P1,0,0,0,0,0,0
LOC102724345,0,0,1,0,0,1
LRRC37A4P,0,0,0,0,0,0
LOC112267925,0,0,0,0,0,0
LRRC37A3,1,139,325,560,2,87
LOC105369225,0,0,0,0,0,0
LOC124904113,0,0,0,0,0,0
MIR4315-1,0,0,0,0,0,0
PLEKHM1,0,6,2,8,0,0
ARHGAP27,0,0,0,0,0,0
LOC105371796,0,0,0,0,0,0
RNA5SP443,0,0,0,0,0,0
KRTAP9-12P,0,0,1,0,0,0
KRTAP9-2,0,0,0,0,0,0
KRTAP9-4,0,0,0,0,0,0
KRTAP9-9,0,0,0,0,0,0
KRTAP9-6,0,0,0,0,0,0
KRTAP9-11P,0,0,0,0,0,0
KRTAP9-7,0,0,0,0,0,0
KRTAP9-10P,0,0,0,0,0,0
KRTAP29-1,0,0,0,0,0,0
LOC124900636,0,0,0,0,0,0
TBC1D3I,0,0,0,0,0,0
LOC124900635,0,0,0,0,0,0
CCL4L1,0,0,0,0,0,0
CCL3L1,0,0,0,0,0,0
LOC124905374,0,0,0,0,0,0
CCL3P1,0,0,0,0,0,0
LOC124905373,0,0,0,0,0,0
TBC1D3G,0,3,1,0,5,0
LOC100420853,0,0,0,0,0,0
YWHAEP6,0,0,0,0,0,0
LOC105379635,0,0,0,0,0,0
CCL4L2,0,0,0,0,0,0
CCL3L3,0,0,0,0,0,0
TBC1D3B,0,0,0,0,0,0
LOC100420851,2,5,0,5,2,2
LOC100419980,0,0,0,0,0,0
LOC101927369,0,0,0,0,0,0
RN7SL301P,0,0,0,0,0,0
CCL4,0,0,0,0,0,0
CCL3,0,0,0,0,0,0
CCL18,0,0,0,0,0,0
MIR3183,0,0,0,0,0,0
LOC105371481,0,0,0,0,0,0
ABR,1,1,42,62,0,0
TIMM22,0,0,0,0,0,0
NXN,62,38,79,1,7,7
RPH3AL-AS1,0,0,0,0,0,0
LOC105371425,13,0,3,4,0,0
RPH3AL,71,10,13,100,55,17
LOC124903606,0,0,0,0,0,0
LOC107984761,0,0,0,0,0,0
LOC107984089,0,0,0,74,0,0
FMN1,691,772,1928,1587,2028,1327
GREM1-AS1,0,0,0,0,0,0
GREM1,6,0,0,0,1,0
LOC105370756,0,0,0,0,0,0
SCG5-AS1,0,0,0,0,0,0
SCG5,0,0,0,0,0,0
ARHGAP11A-SCG5,0,0,0,0,0,0
ARHGAP11A,0,0,0,24,2,15
RN7SL286P,0,0,0,1,0,0
GOLGA8N,0,0,0,45,0,33
ARHGAP11A-DT,0,0,0,0,0,0
LINC02256,0,0,0,0,0,0
WHAMMP1,1,5,141,0,43,67
LOC107984723,0,0,0,0,0,0
LOC101060588,0,0,0,0,0,0
